"PdId","IncidntNum","Incident Code","Category","Descript","DayOfWeek","Date","Time","PdDistrict","Resolution","Address","X","Y","location","SF Find Neighborhoods 2 2","Current Police Districts 2 2","Current Supervisor Districts 2 2","Analysis Neighborhoods 2 2","DELETE - Fire Prevention Districts 2 2","DELETE - Police Districts 2 2","DELETE - Supervisor Districts 2 2","DELETE - Zip Codes 2 2","DELETE - Neighborhoods 2 2","DELETE - 2017 Fix It Zones 2 2","Civic Center Harm Reduction Project Boundary 2 2","Fix It Zones as of 2017-11-06  2 2","DELETE - HSOC Zones 2 2","Fix It Zones as of 2018-02-07 2 2","CBD, BID and GBD Boundaries as of 2017 2 2","Areas of Vulnerability, 2016 2 2","Central Market/Tenderloin Boundary 2 2","Central Market/Tenderloin Boundary Polygon - Updated 2 2","HSOC Zones as of 2018-06-05 2 2","OWED Public Spaces 2 2","Neighborhoods 2"
"15112550309016","151125503","09016","FORGERY/COUNTERFEITING","CHECKS OR LEGAL INSTRUMENTS, UTTERING FORGED","Tuesday","10/20/2015","09:00","INGLESIDE","NONE","200 Block of ARLINGTON ST","-122.425458014126","37.7380021434283","POINT (-122.42545801412598 37.7380021434283)","59","9","5","10","2","7","5","63","7","","","","","","","1","","","","","59"
"17095997111014","170959971","11014","STOLEN PROPERTY","STOLEN CELLULAR PHONE, NON-CLONED, POSSESSION","Sunday","11/26/2017","15:32","TARAVAL","ARREST, BOOKED","2600 Block of 43RD AV","-122.50100549016456","37.73724281685036","POINT (-122.50100549016456 37.73724281685036)","40","10","7","35","1","8","3","29491","35","","","","","","","1","","","","","40"
"15609445806224","156094458","06224","LARCENY/THEFT","GRAND THEFT FROM UNLOCKED AUTO","Saturday","04/18/2015","21:00","NORTHERN","NONE","GEARY BL / STEINER ST","-122.4345637373","37.7841504915887","POINT (-122.4345637373 37.7841504915887)","97","4","11","39","13","9","11","29490","41","","","","","","","2","","","","","97"
"15619455328150","156194553","28150","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","08/06/2015","13:00","CENTRAL","NONE","BAY ST / MASON ST","-122.413609602048","37.8056188797632","POINT (-122.413609602048 37.8056188797632)","99","6","3","23","3","1","10","308","23","","","","","","2","2","","","","","99"
"18007102609024","180071026","09024","OTHER OFFENSES","FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY","Friday","01/26/2018","19:00","MISSION","NONE","100 Block of LEXINGTON ST","-122.42080365213303","37.7609280145455","POINT (-122.42080365213303 37.7609280145455)","53","3","2","20","2","4","7","28859","19","","","","3","","","2","","","3","","53"
"15607054906244","156070549","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Saturday","03/21/2015","16:45","SOUTHERN","NONE","800 Block of BRYANT ST","-122.403404791479","37.775420706711","POINT (-122.40340479147902 37.775420706711)","32","1","10","34","14","2","9","28853","34","","","","","","","2","","","","","32"
"15608967528150","156089675","28150","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","04/10/2015","19:00","INGLESIDE","NONE","500 Block of ROCKDALE DR","-122.449725559364","37.7398984713583","POINT (-122.449725559364 37.7398984713583)","72","9","8","41","9","7","4","59","40","","","","","","","1","","","","","72"
"15605912306244","156059123","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Friday","03/06/2015","19:30","CENTRAL","NONE","MONTGOMERY ST / BUSH ST","-122.402384024411","37.7909700100406","POINT (-122.40238402441102 37.7909700100406)","108","6","3","8","4","1","10","28854","6","","","","","","","2","","","","","108"
"15900180265020","159001802","65020","OTHER OFFENSES","RECKLESS DRIVING","Sunday","04/12/2015","01:38","TARAVAL","ARREST, BOOKED","0 Block of TAPIA DR","-122.480911501802","37.7218365399542","POINT (-122.480911501802 37.7218365399542)","42","10","8","16","1","8","4","64","14","","","","","","","2","","","","","42"
"15606711006372","156067110","06372","LARCENY/THEFT","PETTY THEFT OF PROPERTY","Saturday","03/14/2015","10:33","RICHMOND","NONE","1100 Block of 9TH AV","-122.466504397113","37.7662014296859","POINT (-122.466504397113 37.76620142968591)","9","8","11","12","11","6","11","29492","8","","","","","","","1","","","","","9"
