"PdId","IncidntNum","Incident Code","Category","Descript","DayOfWeek","Date","Time","PdDistrict","Resolution","Address","X","Y","location","SF Find Neighborhoods 2 2","Current Police Districts 2 2","Current Supervisor Districts 2 2","Analysis Neighborhoods 2 2","DELETE - Fire Prevention Districts 2 2","DELETE - Police Districts 2 2","DELETE - Supervisor Districts 2 2","DELETE - Zip Codes 2 2","DELETE - Neighborhoods 2 2","DELETE - 2017 Fix It Zones 2 2","Civic Center Harm Reduction Project Boundary 2 2","Fix It Zones as of 2017-11-06  2 2","DELETE - HSOC Zones 2 2","Fix It Zones as of 2018-02-07 2 2","CBD, BID and GBD Boundaries as of 2017 2 2","Areas of Vulnerability, 2016 2 2","Central Market/Tenderloin Boundary 2 2","Central Market/Tenderloin Boundary Polygon - Updated 2 2","HSOC Zones as of 2018-06-05 2 2","OWED Public Spaces 2 2","Neighborhoods 2"
"15104804664020","151048046","64020","NON-CRIMINAL","AIDED CASE, MENTAL DISTURBED","Thursday","12/03/2015","12:51","TENDERLOIN","EXCEPTIONAL CLEARANCE","LARKIN ST / FULTON ST","-122.416769999704","37.7795845776674","POINT (-122.416769999704 37.7795845776674)","21","5","10","36","7","9","9","28852","36","","1","","1","","8","2","1","1","1","39","21"
"15111137027130","151111370","27130","OTHER OFFENSES","POSSESSION OF BURGLARY TOOLS","Saturday","12/26/2015","10:49","SOUTHERN","ARREST, BOOKED","400 Block of 10TH ST","-122.410541166987","37.7709130566165","POINT (-122.410541166987 37.7709130566165)","32","1","10","34","8","2","9","28853","34","","","","","","","2","","","","","32"
"15618384171000","156183841","71000","NON-CRIMINAL","LOST PROPERTY","Saturday","07/25/2015","15:30","CENTRAL","NONE","1600 Block of THE EMBARCADERONORTH ST","-122.410774214375","37.8084350175869","POINT (-122.41077421437501 37.80843501758691)","99","6","3","23","3","1","10","308","23","","","","","","2","2","","","","","99"
"15612038206244","156120382","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Tuesday","05/19/2015","11:00","CENTRAL","NONE","900 Block of NORTHPOINT ST","-122.422857719558","37.8054440413944","POINT (-122.422857719558 37.80544404139441)","98","6","6","32","5","1","1","28858","32","","","","","","2","1","","","","","98"
"7023654209020","070236542","09020","FORGERY/COUNTERFEITING","CHECKS, MAKE OR PASS FICTITIOUS","Monday","03/05/2007","16:00","SOUTHERN","NONE","100 Block of MINNA ST","-122.399566190584","37.7872560968777","POINT (-122.39956619058401 37.7872560968777)","32","1","10","8","12","2","9","28855","6","","","","","","4","1","","","","","32"
"15608238406244","156082384","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Friday","04/03/2015","18:45","BAYVIEW","NONE","ILLINOIS ST / 20TH ST","-122.387571306252","37.7605499565144","POINT (-122.387571306252 37.7605499565144)","55","2","9","26","14","3","8","28856","29","20","","22","","22","14","1","","","","","55"
"15622067506244","156220675","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Sunday","09/06/2015","01:00","SOUTHERN","NONE","1100 Block of FOLSOM ST","-122.40856429774","37.7760967348453","POINT (-122.40856429774001 37.7760967348453)","32","1","10","34","8","2","9","28853","34","24","1","6","1","6","","2","","","1","","32"
"16003422665020","160034226","65020","OTHER OFFENSES","RECKLESS DRIVING","Wednesday","01/13/2016","10:35","NORTHERN","ARREST, BOOKED","VANNESS AV / EDDY ST","-122.42081833044479","37.78289464509124","POINT (-122.42081833044479 37.78289464509124)","20","4","11","39","7","9","11","28852","41","","1","","","","","2","","","","","20"
"15604737206244","156047372","06244","LARCENY/THEFT","GRAND THEFT FROM LOCKED AUTO","Friday","02/13/2015","20:00","MISSION","NONE","100 Block of DOLORES ST","-122.42642250825","37.7666816346904","POINT (-122.42642250825001 37.7666816346904)","37","3","5","20","8","4","5","28862","19","","","","","","","2","","","5","","37"
"15626983371000","156269833","71000","NON-CRIMINAL","LOST PROPERTY","Monday","11/02/2015","20:15","SOUTHERN","NONE","MARKET ST / 3RD ST","-122.403434086745","37.78764305018","POINT (-122.40343408674501 37.78764305018)","19","6","3","8","12","2","10","28855","6","10","","12","","12","4","2","","","","35","19"
"15628058806372","156280588","06372","LARCENY/THEFT","PETTY THEFT OF PROPERTY","Monday","11/16/2015","22:08","CENTRAL","NONE","1900 Block of STOCKTON ST","-122.409824657266","37.8039614972873","POINT (-122.40982465726601 37.8039614972873)","106","6","3","23","3","1","10","308","23","","","","","","","1","","","","","106"
"15626641971000","156266419","71000","NON-CRIMINAL","LOST PROPERTY","Wednesday","09/23/2015","11:58","SOUTHERN","NONE","700 Block of MARKET ST","-122.403919148357","37.7871160984672","POINT (-122.40391914835702 37.7871160984672)","32","5","10","8","12","2","9","28853","6","","","","","","4","1","","","","35","32"
"15108113765016","151081137","65016","OTHER OFFENSES","DRIVERS LICENSE, SUSPENDED OR REVOKED","Tuesday","12/15/2015","07:20","MISSION","ARREST, BOOKED","1000 Block of CAPP ST","-122.417192395984","37.7498863746378","POINT (-122.417192395984 37.7498863746378)","53","3","2","20","2","4","7","28859","19","","","","3","","","2","","","3","","53"
"15105780905071","151057809","05071","BURGLARY","BURGLARY, FORCIBLE ENTRY","Thursday","12/03/2015","08:00","MISSION","NONE","1000 Block of TREAT AV","-122.41313563097","37.7533494192093","POINT (-122.41313563097002 37.7533494192093)","53","3","2","20","2","4","7","28859","19","","","","3","","","2","","","3","","53"
